ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
14,3-105-39/59,บริษัท เอ็มบอส กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 549,,,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,02-0489980,29000000,6,91
15,3-105-48/59,ธวัช รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 743/7,,เสือใหญ่อุทิศ,รัชดาภิเษก,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,29300668,12900000,10,228.5
16,3-105-49/59,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 19,,เทียนทะเล 30,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,28972394,27000000,21,295
17,3-105-51/59,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 92/78-79,9,,ฉลองกรุง,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,892029400,120000000,33,1247
18,3-105-52/59,นางวรรณา กนกทิพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 26/5,,เพชรเกษม114,เพชรเกษม,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10150,,13000000,14,766.34
19,3-105-53/54,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,เลขที่ 4,,-,แสมดำ,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,,2000000,2,485
20,3-105-54/59,บริษัท ช.รุ่งทรัพย์ จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 597,,,พระราม 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,24155642,12300000,9,426.5
21,3-105-6/48,มิตรไพบูลย์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,เลขที่ 29/6,3,-,ประชาสำราญ 2,หนองจอก,หนองจอก,กรุงเทพมหานคร,10530,,515000,9,2
22,3-105-81/48,ซั่งเฮงจั่น,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม  ฉบับที่ 1 (พ.ศ.2541)  เช่น  เศษโลหะ  เศษกระดาษ  อัดกระป๋องและตัดโลหะ,เลขที่ 3,,โชติวัฒน์ ซอย 14,ประชาชื่น,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,10800,02-5852521,13000000,10,255
23,3-105-98/50,หนองแขมของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,เลขที่ 13/16,7, -,เพชรเกษม 81,หนองแขม,หนองแขม,กรุงเทพมหานคร,10160,,1800000,7,33
24,3-106-1/46,นางกิมเอ็ง ยิ่งแจ่มจันทร์,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),เลขที่ 40,,เพชรเกษม 110 แยก 14-1-1,-,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160,,0,0,335.5
25,3-106-2/46,บริษัท นิ้วเจริญ จำกัด,ซ่อมแซมถังน้ำมัน,เลขที่ 71/5,,วิเชียร,ประชาอุทิศ,บางมด,ทุ่งครุ,กรุงเทพมหานคร,10140,,22000000,12,56.6
26,ข3-106-18/48,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,เลขที่ 3/356-357,9,-,สุวินทวงศ์,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,02-5435436-7,0,9,73.86
27,น.105-1/2553-นนล.,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,เลขที่ 115,4,-,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520,02-326-1256,10000000,15,1265
28,น.106-1/2551-นนล.,บริษัท โลหะ สยาม จำกัด,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 66,,#NAME?,-,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520,02739-6388,65000000,13,310
29,น.106-1/2553-นนล.,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,เลขที่ 66,,ฉลองกรุง31,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520,814334212,0,0,329.5
30,3-101-1/34สป,บริษัท เอ็ม.ไทย เอสเตท จำกัด,บำบัดน้ำเสียรวม,เลขที่ 159/1,16,,เทพารักษ์ กม.23,บางเสาธง,บางเสาธง,สมุทรปราการ,10540,02-706-1515,109363616,10,500
31,3-101-1/35สป,บริษัท จีเอฟพีที จำกัด (มหาชน),บำบัดน้ำเสียรวม,เลขที่ 209,1,,เทพารักษ์ กม.20.5,บางเสาธง,บางเสาธง,สมุทรปราการ,10540,02-3159400,86160000,24,1751.26
32,3-101-1/44สป,โรงงานบำบัดน้ำเสีย โครงการจัดการนำเสียในเขตควบคุมพมลพิษ จังหวัดสมุทรปราการ,บำบัดน้ำเสียจากแหล่งชุมชน สถานประกอบการและโรงงานอุตสาหกรรมในเขตควบคุมมลพิษ จังหวัดสมุทรปราการ โดยใช้วิธีบำบัดทางชีวภาพแบบตะกอนเร่ง (Extened aeration activated s,เลขที่ ,11,-,สุขมวิท,คลองด่าน,บางบ่อ,สมุทรปราการ,10550,      -,5468790000,80,30000
33,3-101-1/45สป,บ่อบำบัดรวม โครงการสุธาวี มินิแฟค,บ่อบำบัดน้ำเสียรวม,เลขที่ 261/93,2,    -,ปานวิถี,บางเพรียง,บางบ่อ,สมุทรปราการ,10560,02-708-3659-60,7220000,5,38.58
34,3-101-1/46สป,บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด,"บำบัดน้ำเสียรวม ปริมาณการบำบัดสูงสุด 2,000 ลูกบาศก์เมตร/วัน",เลขที่ 82/1,2, -,ทางรถไฟสายเก่า,สำโรงใต้,พระประแดง,สมุทรปราการ,10130,0-2386-1331,60000000,4,621.55
35,3-101-2/36สป,สมาคมอุตสาหกรรมฟอกหนัง,ปรับคุณภาพน้ำเสียรวม,เลขที่ ,,ฟอกหนัง,สุขุมวิท กม.34,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,7039009-10,13000000,15,0
36,3-101-2/45สป,บริษัท มิลเลนเนียมมอเตอร์ จำกัด,โรงงานปรับคุณภาพน้ำเสียรวม (CENTRAL WASTE WATER TREATMENT PLANT),เลขที่ 199,8,-,พุทธรักษา,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,02 388-0868,6000000,3,50
37,3-101-3/36สป,สมาคมอุตสาหกรรมฟอกหนัง,ปรับปรุงคุณภาพน้ำเสีย,เลขที่ ,11,ฟอกหนัง,สุขุมวิท กม.30,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,10280,,33000000,15,1493
38,3-101-3/41สป,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),บำบัดน้ำเสียรวม,เลขที่ 89/2,8,วัดสวนส้ม,ปู่เจ้าสมิงพราย,สำโรงใต้,พระประแดง,สมุทรปราการ,10130,3842760-1,48000000,3,460.92
39,3-105-1/46สป,บริษัท สวารินทร์ จำกัด,เกี่ยวกับการคัดแยกหรือผังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามที่กำหนดในกฎกระทรวงฉบับที่ 2 (พ.ศ.2535) ออกตามความในพระราชบัญญัติโรงงาน,เลขที่ 33/2-5  อาคารเดิมอาคารที่ 2,4,-,สุขาภิบาล 6,บางหัวเสือ,พระประแดง,สมุทรปราการ,10130,0 2383 0997-8,1500000,18,60
40,3-105-1/49สป,บริษัท ซี ยู อี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติกและผลิตเมล็ดพลาสติกเกรดบี,เลขที่ 13/12-13,4, -,บางนา-ตราด,บางบ่อ,บางบ่อ,สมุทรปราการ,10560,,12250000,13,576.05
41,3-105-10/57สป,บริษัท มังกร เอส.พี.เค.รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/13,12,,,บางปลา,บางพลี,สมุทรปราการ,10540,,5000000,16,192
42,3-105-12/57สป,บริษัท สุวรรณภูมิ เอ็นไวรอนเม้นท์ แคร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 999,1,-,-,หนองปรือ,บางพลี,สมุทรปราการ,10540,,19000000,29,108.75
43,3-105-14/55สป,บริษัท มารีทรานส์ รีไซคลิง (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดเศษโลหะและพลาสติก,เลขที่ 13/5,8,สุขสวัสดิ์ 74,สุขสวัสดิ์,บางครุ,พระประแดง,สมุทรปราการ,10130,0 2539 4352,1000000,7,2
44,3-105-14/56สป,นางวัฒนา สมสอน,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 28/11,4,วัดใหญ่บางปลากด,สุขสวัสดิ์ ,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,10290,869851278,1500000,10,0
45,3-105-14/58สป,บริษัท เพอร์เฟ็ค เปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,เลขที่ -,2,ลำบางผี,บางพลี-ตำหรุ,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10250,,340000000,72,450
46,3-105-145/47สป,บริษัท เอ็น-เทคโนโลยี คอนซัลแตนท์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้ว เฉพาะที่มีลักษณะตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 629,6,ศรีวิลัย,พุทธรักษา,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,10280,,15725000,12,85
47,3-105-147/48สป,นายทวีชัย ไชยรัตนตรัย,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วตามที่กำหนดในหมวด 1 ข้อ 1 ภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1,เลขที่ 799,4, -,พุทธรักษา,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,10280,,15000000,10,82
48,3-105-15/47สป,บริษัท ค้าขยะ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2535) บดย่อยพลาสติก และอัดเศษโลหะ,เลขที่ 258/2,7,อู่วัฒนะ,ปู่เจ้าสมิงพราย,สำโรงกลาง,พระประแดง,สมุทรปราการ,10130,0 2394 1456,6400000,7,41
49,3-105-15/55สป,บริษัท สยาม อิชิคาวะ เมทัลส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 50/21,1,-,บางนา-ตราด,ศีรษะจรเข้ใหญ่,บางเสาธง,สมุทรปราการ,10540,02-2348738,26500000,12,60
50,3-105-155/48สป,บริษัท ช.เจริญ เทรดดิ้ง แอนด์ ซัพพลาย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่  1 (พ.ศ.2541)  นำน้ำมันใช้แล้วและตัวทำละลายใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรม  เพื่อนำกลับมาใช้เป็นเชื้อเพลิงทดแทน  น้ำมันหยอดทิ้ง  น้ำมันทาไม้แบบ  ซ่อมและล้างถังที่ใช้แล้ว,เลขที่ 888/8,7,เสด็จแม่บังภัย,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,,5000000,5,137
51,3-105-17/55สป,นายไชยพงศ์ ศรีเปรมอนันต์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 322/1,6,เทศบาลบางปู 88,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,,22000000,7,360
52,3-105-19/53สป,ห้างหุ้นส่วนจำกัด ปากน้ำ โพลีเมอร์ แอนด์ ทูลิ่ง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ -,7,-,พุทธรักษา,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,10280,,1300000,7,51
53,3-105-19/55สป,บริษัท ประเสริฐพร เอ็นจิเนียริ่ง จำกัด,คัดแยกสิ่งปฏิกูลและวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 95/9,9,-,-,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,10290,,43500000,20,60
54,3-105-2/46สป,บริษัท ชู ดิวิลอปเม้นท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 ตามบัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541),เลขที่ 999,7,เสด็จแม่บังภัย,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,0 2707 8455,18200000,14,23
55,3-105-2/54สป,"บริษัท ไฟว์ สตีล แอนด์ รีไซเคิล จำกัด (FIVE STEEL AND RECYCLE CO., LTD.)",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 334,10,-,-,สำโรงใต้,พระประแดง,สมุทรปราการ,10130,,2100000,3,25
56,3-105-2/57สป,บริษัท กรีนเซฟรีไซเคิ้ล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 297,2,,,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,10280,,8500000,6,280
57,3-105-22/47สป,บริษัท สยามสแคร็ปเทรดเดอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1(พ.ศ.2541),เลขที่ 567,10,สวนส้ม,ปู่เจ้าสมิงพราย,สำโรงใต้,พระประแดง,สมุทรปราการ,10130,0 2757 6479,29000000,40,510
58,3-105-23/58สป,บริษัท บางปู รีไซเคิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 939,7,,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,,16000000,8,260
59,3-105-24/59สป,ห้างหุ้นส่วนจำกัด พี.เอ็ม.เอ.พี.อาร์.,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 30/2,15,กิ่งแก้ว 45,กิ่งแก้ว,ราชาเทวะ,บางพลี,สมุทรปราการ,24000,,6500000,10,92.5
60,3-105-25/47สป,บริษัท เรืองโรจน์ พี.สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชี     สิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541) อัดเศษโลหะ ตัด พับ และม้วนโลหะ,เลขที่ 172/24,10,สวนส้ม,ปู่เจ้าสมิงพราย,สำโรงใต้,พระประแดง,สมุทรปราการ,10130,0 2394 4277,11300000,14,213.16
61,3-105-26/58สป,บริท ศิริวิลัย ๒๕๕๘ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อย และทำเม็ดพลาสติก,เลขที่ 113,2,-,บางพลี-ตำหรุ,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,,24500000,7,233
62,3-105-27/49สป,นายมนัส เผือกวัฒนะ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย  เฉพาะเศษกระดาษ  เศษพลาสติก  เศษไม้  และเศษโลหะต่าง ๆ,เลขที่ 81/17,5,บุญถนอม, -,สำโรงใต้,พระประแดง,สมุทรปราการ,10130,0 2748 4229,1000000,4,120
63,3-105-27/58สป,ห้างหุ้นส่วนจำกัด สามพี่น้อง ค้าของเก่า,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 488-488/1,5,-,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,,6600000,8,253
64,3-105-28/56สป,บริษัท เจริญพรรุ่งเรือง สตีล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,เลขที่ 600,10,-,-,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,10290,,8000000,4,120
65,3-105-29/47สป,บริษัท สมศักดิ์ แอนด์ รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วและบดพลาสติก,เลขที่ 152,7,-,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,01-8180272,2350000,13,10
66,3-105-3/46สป,มิตรเจริญของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (Industrial non-Hazardous wastes),เลขที่ 171,4,สุรพงษ์ 2,มหาวงษ์,สำโรงใต้,พระประแดง,สมุทรปราการ,10130,0 2748 5556,4050000,12,133
67,3-105-31/56สป,ห้างหุ้นส่วนจำกัด หัวหลง เอ็นเตอร์ไพร์ส,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่อันตราย เช่น เศษพลาสติก เศษกระดาษ ,เลขที่ 678/1,4,เทศบาล 18/1,ท้ายบ้าน-หาดอมรา,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,10280,,9750000,5,230
68,3-105-31/58สป,ห้างหุ้นส่วนจำกัด รุ่งดีการค้าและบริการ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 994,6,,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,,11000000,17,172
69,3-105-32/59สป,นายดาวรุ่ง เนตรภักดี,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ โฉนดที่ดินเลขที่ 15562, 757",6,-,บางนา-ตราด-อ่อนนุช,ศีรษะจรเข้ใหญ่,บางเสาธง,สมุทรปราการ,10540,,18500000,5,91
