orgth,orgen,telephone,address,website,healtharea,agency,province,district,area,npsts,pooledsaliva,pooledswab
ศูนย์บริการเทคนิคการแพทย์คลินิก คณะเทคนิคการแพทย์ มหาวิทยาลัยเชียงใหม่,"Clinic Service Center, Faculty of Associated Medical Sciences, Chiang Mai University",0-5393-6027,"110, ถ.อินทวโรรส, ต.ศรีภูมิ, อ.เมือง, จ.เชียงใหม่, 50200",https://www.ams.cmu.ac.th/amscsc/,เขต 1,ภาครัฐ,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลราชเวช เชียงใหม่,Rajavej ChiangMai Hospital,0-5201-1999,316/1 โรงพยาบาลราชเวช เชียงใหม่ ถ.เชียงใหม่-ลำพูน ต.วัดเกต อ.เมือง จ.เชียงใหม่ 50000,https://www.rajavejchiangmai.com/,เขต 1,เอกชน,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเชียงใหม่ราม,Chiang Mai Ram Medical Clinic,0-5392-0300,20/4 ถ.บุญเรืองฤทธิ์ ต.ศรีภูมิ อ.เมือง จ.เชียงใหม่ 50200,https://www.chiangmairam.com/,เขต 1,เอกชน,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลานนา,Lanna Hospital,0-5213-4777,แผนกปฏิบัติการ รพ.ลานนา เลขที่1 ถ.สุขเกษม ต.ป่าตัน อ.เมือง เชียงใหม่ 50300,http://www.lanna-hospital.com/lannahospital/html/home.html,เขต 1,เอกชน,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลเชียงใหม่ใกล้หมอ,Chiangmai Klaimor Hospital,0-5320-0002,158 หมู่ 10 ต.ป่าแดด อ.เมือง จ.เชียงใหม่ 50100,https://www.chiangmaiklaimor-hosp.com/index.php,เขต 1,เอกชน,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลน่าน,Nan Hospital,0-5471-9000,1 ศรีวิชัย ต.ในเวียง อ.เมือง น่าน 55000,https://www.nanhospital.go.th/,เขต 1,ภาครัฐ,น่าน,เมืองน่าน,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลสันทราย,Sansai Hospital,0-5392-1199,201 หมู่11 ถนนเชียงใหม่-พร้าว ตำบลหนองหาร อำเภอสันทราย จังหวัดเชียงใหม่ 50290,https://www.sansaihospital.com/,เขต 1,ภาครัฐ,เชียงใหม่,สันทราย,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,
โรงพยาบาลแพร่,Phrae Hospital,0-5453-3500,144 ถ.ช่อแฮ ต.ในเวียง อ.เมือง จ.แพร่54000,http://www.phraehospital.go.th/ph11/index.php,เขต 1,ภาครัฐ,แพร่,เมืองแพร่,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลลำพูน,Lamphun Hospital,0-5356-9100,อาคาร 60 ปี ชั้น 2 177 ม.11 ต.ต้นธง อ.เมือง จ.ลำพูน 51000,http://www.lpnh.go.th/,เขต 1,ภาครัฐ,ลำพูน,เมืองลำพูน,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลพะเยา,Phayao Hospital,0-5440-9300,269 ถ. พหลโยธิน ต.บ้านต๋อม อ.เมือง จ.พะเยา 56000,http://www.phayaohospital.go.th/,เขต 1,ภาครัฐ,พะเยา,เมืองพะเยา,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลพะเยาราม,Phayao Ram Hospital,"0-5441-1111
",660 หมู่ 3 ตำบล ท่าวังทอง อำเภอ เมือง จังหวัด พะเยา 56000,https://www.facebook.com/Phayaoram/,เขต 1,เอกชน,พะเยา,เมืองพะเยา,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเกษมราษฎร์ ศรีบุรินทร์,Kasemrad Sriburin Hospital,0-5391-0999,แผนกตรวจวิเคราะห์ รพ.เกษมราษฎร์ ศรีบุรินทร์ เลขที่ 111/5 หมู่ที่ 13 ถ.เอเชีย1 ต.สันทราย อ.เมือง จ.เชียงราย 57000,http://www.kasemrad.co.th/Sriburin/th/site/home,เขต 1,เอกชน,เชียงราย,เมืองเชียงราย,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
เอ็นเฮลท์ สหคลินิก สาขาเชียงใหม่,N Health Diagnostic Services Chiang Mai,0-5200-7131,114/5 ถ.ซุปเปอร์ไฮเวย์ ต.หนองป่าครั่ง อ.เมือง จ.เชียงใหม่ 50000,https://www.nhealth-asia.com/,เขต 1,เอกชน,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลโอเวอร์บรุ๊ค,Overbrook Hospital,0-5371-1366,17 ถนนสิงหไคล ตำบลเวียง อำเภอเมือง จังหวัดเชียงราย 57000,https://www.overbrook-hospital.com/,เขต 1,เอกชน,เชียงราย,เมืองเชียงราย,ต่างจังหวัด,เปิดตรวจแล้ว,,
สถาบันวิจัยวิทยาศาสตร์สุขภาพ มหาวิทยาลัยเชียงใหม่,"Research Institute for Health Sciences, Chiang Mai University",0-5393-6148,110 ถนน อินทวโรรส ต.ศรีภูมิ อ.เมือง จ.เชียงใหม่ 50200,https://www.rihes.cmu.ac.th,เขต 1,ภาครัฐ,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,,
เซ็นทรัลแล็บกรุ๊ป คลินิกเทคนิคการแพทย์,"Central Lab Group Co., Ltd., Medical Technic Clinic (Lampang)",,655/19-20 ถนนไฮเวย์-ลำปาง-งาว ตำบล หัวเวียง อำเภอ เมือง จังหวัด ลำปาง 52000,https://www.facebook.com/people/คลินิกตรวจเลือด-เทคนิคการแพทย์เซ็นทรัลแล็บ/100011553408150/,เขต 1,เอกชน,ลำปาง,เมืองลำปาง,ต่างจังหวัด,เปิดตรวจแล้ว,,
บริษัทเนชั่นแนลเฮลท์แคร์ซิสเท็มส์จำกัด สาขาโรงพยาบาลกรุงเทพเชียงราย,"National Healthcare Systems Co.,Ltd, Bangkok Hospital Chiangrai",02-7624000,369 หมู่ 13 ถนนพหลโยธิน ตำบลนางแล อำเภอเมือง จังหวัดเชียงราย 57100,https://www.nhealth-asia.com/,เขต 1,เอกชน,เชียงราย,เมืองเชียงราย,ต่างจังหวัด,เปิดตรวจแล้ว,,
ศูนย์วิทยาศาสตร์การแพทย์ที่ 2 พิษณุโลก,Regional Medical Sciences Center 2 Phitsanulok,0-5532-2824-6,567 หมู่ 5 ตำบลหัวรอ อำเภอเมือง จังหวัดพิษณุโลก,http://rmsc2.dmsc.moph.go.th/,เขต 2,ภาครัฐ,พิษณุโลก,เมืองพิษณุโลก,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
สำนักงานป้องกันควบคุมโรคที่ 2 พิษณุโลก,The Office of Disease Prevention and Control 2 Phitsanulok,0-5521-4615-7,อาคารห้องปฏิบัติการควบคุมโรค (ตึกใหม่) 777 ต.หัวรอ อ.เมือง จ.พิษณุโลก 65000,https://ddc.moph.go.th/odpc2/,เขต 2,ภาครัฐ,พิษณุโลก,เมืองพิษณุโลก,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
หน่วยวิจัยมาลาเรียโซโกล ห้องปฏิบัติการจุลชีววิทยา,"Shoklo Malaria Research Unit, Microbiology Laboratory",55532026,68/30 ถ.บ้านทุ่ง ต.แม่สอด อ.แม่สอด จ.ตาก 63110,,เขต 2,ภาครัฐ,ตาก,แม่สอด,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลแม่สอด,Mae Sot Hospital,0-5553-1224,175/16 ถ.ศรีพานิช ต.แม่สอด อ.แม่สอด จ.ตาก 63110,https://www.maesot.moph.go.th/,เขต 2,ภาครัฐ,ตาก,แม่สอด,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
องค์การระหว่างประเทศเพื่อการโยกย้ายถิ่นฐาน สำนักงานแม่สอด,"International Organization for Migration, IOM, Maesot Office",055-039-809,588 หมู่ 7 ถ.แม่สอด-พบพระ ต.แม่ปะ อ.แม่สอด จ.ตาก 63110,https://thailand.iom.int/,เขต 2,เอกชน,ตาก,แม่สอด,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลแม่สอด-ราม,Maesot-Ram Hospital,0-5533-9124,3/24 ถนนราษฎร์อุทิศ อำเภอแม่สอด จังหวัดตาก 63110,http://www.maesotram.com/,เขต 2,เอกชน,ตาก,แม่สอด,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลอุ้มผาง,Umphang Hospital,0-5556-1270,159 ม.1 ต.อุ้มผาง อ.อุ้มผาง จ.ตาก 63170,https://umphanghospital.go.th/,เขต 2,ภาครัฐ,ตาก,อุ้มผาง,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลท่าสองยาง,Thasongyang Hospital,0-5558-9255,357/1 หมู่ที่ 1 ถนนประสิทธิ์ศึกษา ต.แม่ต้าน อ.ท่าสองยาง จ.ตาก 63150,http://www.thasongyang.com/,เขต 2,ภาครัฐ,ตาก,ท่าสองยาง,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลอุตรดิตถ์,Uttaradit Hospital,0-5540-9999,งานอณูชีวโมเลกุล กลุ่มงานเทคนิคการแพทย์และพยาธิวิทยาคลินิก โรงพยาบาลอุตรดิตถ์เลขที่ 38 ถนนเจษฎาบดินทร์ ต.ท่าอิฐ อ.เมือง จ.อุตรดิตถ์ 53000,http://www.uttaradit-hosp.go.th/,เขต 2,ภาครัฐ,อุตรดิตถ์,เมืองอุตรดิตถ์,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลพุทธชินราช,Buddhachinaraj Phitsanulok Hospital,0-5527-0300,รพ.พุทธชินราช พิษณุโลก 90 ถนนศรีธรรมไตรปิฎก ต.ในเมือง อ.เมือง จ.พิษณุโลก 65000,http://www.budhosp.go.th/home/,เขต 2,ภาครัฐ,พิษณุโลก,เมืองพิษณุโลก,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลมหาวิทยาลัยนเรศวร,Naresuan University Hospital,0-5596-5666,เลขที่ 99 หมู่ที่ 9 ตำบลท่าโพธิ์ อำเภอเมือง จังหวัดพิษณุโลก 65000,https://med.nu.ac.th/,เขต 2,ภาครัฐ,พิษณุโลก,เมืองพิษณุโลก,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลพิษณุเวช,Pitsanuvej Hospital,0-5590-9000,ห้องปฏิบัติการ รพ.พิษณุเวช 211 ถ.ขุนพิเรนทรเทพ อ.เมือง จ.พิษณุโลก 65000,https://www.pitsanuvej.com/,เขต 2,เอกชน,พิษณุโลก,เมืองพิษณุโลก,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลเพชรบูรณ์,Phetchabun Hospital,0-5671-7600,203 ถนนสามัคคีชัย อำเภอเมือง จังหวัดเพชรบูรณ์,http://pcb.moph.go.th/,เขต 2,ภาครัฐ,เพชรบูรณ์,เมืองเพชรบูรณ์,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลค่ายพิชัยดาบหัก,Fort Phichai Dabhak Hospital,0-5542-8111,102 หมู่ 8 ถ.สำราญรื่น ต.ท่าเสา อ.เมือง จ.อุตรดิตถ์ 53000,http://www.fpcdh-hospital.com/,เขต 2,ภาครัฐ,อุตรดิตถ์,เมืองอุตรดิตถ์,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลสุโขทัย,Sukhothai Hospital,0-5561-0903,โรงพยาบาลสุโขทัย ต.บ้านกล้วย อ.เมือง จ.สุโขทัย 64000,http://www.skth.go.th/,เขต 2,ภาครัฐ,สุโขทัย,เมืองสุโขทัย,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลศรีสังวรสุโขทัย,Srisangworn Sukhothai Hospital,0-5568-2030-42,เลขที่? 1? ม.8? ต.คลองตาล? อ.ศรีสำโรง? จ.สุโขทัย,https://www.srisangworn.go.th/,เขต 2,ภาครัฐ,สุโขทัย,ศรีสำโรง,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,King Taksin Hospital,0-5551-1024,16/2 ถ.พหลโยธิน ต.ระแหง อ.เมือง จ.ตาก 63000,https://www.tsm.go.th/,เขต 2,ภาครัฐ,ตาก,เมืองตาก,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลพบพระ,Phobphra Hospital,0-5556-9021-23,245 หมู่ 2 ตำบลพบพระ พบพระ ตาก 63160,http://www.phobphrahospital.com/,เขต 2,ภาครัฐ,ตาก,พบพระ,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลแม่ระมาด,Maeramad Hospital,0-5558-1229,251 หมู่ 4 ตำบลแม่ระมาด อำเภอแม่ระมาด จังหวัด ตาก 63140,https://www.maeramad-hospital.go.th/,เขต 2,ภาครัฐ,ตาก,แม่ระมาด,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลนครแม่สอด อินเตอร์เนชั่นแนล,MSI Hospital,0-5551-8200-22,222 หมู่ 9 ถนน แม่สอด-แม่ระมาด ต.แม่ปะ อ.แม่สอด จ.ตาก 63110,http://www.msihospital.com/,เขต 2,เอกชน,ตาก,แม่สอด,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
ศูนย์วิทยาศาสตร์การแพทย์ที่ 3 นครสวรรค์,Regional Medical Sciences Center 3 Nakhon Sawan,0-5624-5618-20,267 ม.8 ต.นครสวรรค์ตก อ.เมือง จ.นครสวรรค์ 60000,http://rmsc3.dmsc.moph.go.th/,เขต 3,ภาครัฐ,นครสวรรค์,เมืองนครสวรรค์,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
สำนักงานป้องกันควบคุมโรคที่ 3 นครสวรรค์,The Office of Disease Prevention and Control 3 Nakhon Sawan,0-5622-1822,516/66 หมู่ 10 ถนนพหลโยธิน ตำบลนครสวรรค์ตก อำเภอเมือง จังหวัดนครสวรรค์ 60000,http://odpc3.ddc.moph.go.th/,เขต 3,ภาครัฐ,นครสวรรค์,เมืองนครสวรรค์,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลสวรรค์ประชารักษ์,Sawanpracharak Hospital,0-5621-9888,โรงพยาบาลสวรรค์ประชารักษ์ 43 ถ.อรรถกวี ต.ปากน้ำโพ อ.เมือง จ.นครสวรรค์ 60000,https://www.spr.go.th/,เขต 3,ภาครัฐ,นครสวรรค์,เมืองนครสวรรค์,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลศรีสวรรค์,Srisawan Hospital,0-5622-1222,ง.33/64 ถ.ดาวดึงส์ อ.เมือง จ.นครสวรรค์ 60000,https://www.srisawan.com/,เขต 3,เอกชน,นครสวรรค์,เมืองนครสวรรค์,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลกำแพงเพชร,Kamphaeng Phet Hospital,0-5502-2000,428 ถ.ราชดำเนิน ต.ในเมือง อ.เมือง จ.กำแพงเพชร 62000,https://www.kph.go.th/html/,เขต 3,ภาครัฐ,กำแพงเพชร,เมืองกำแพงเพชร,ต่างจังหวัด,เปิดตรวจแล้ว,,
หน่วยวิจัยไวรัสวิทยากำแพงเพชร-สถาบันวิจัยวิทยาศาสตร์การแพทย์ทหาร (ฝ่ายสหรัฐ),"Armed Forces Research Institute of Medical Sciences (USA), Kamphaeng Phet-AFRIMS Virology Research Unit",055-713734 ต่อ 3630,428 หน่วยวิจัยไวรัสวิทยา (AFRIMS) รพ.กำแพงเพชร ถ.ราชดำเนิน ต.ในเมือง อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,,เขต 3,ภาครัฐ,กำแพงเพชร,เมืองกำแพงเพชร,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลพิจิตร,Phichit Hospital,0-5661-1355,136 ถ.บึงสีไฟ ต.ในเมือง อ.เมือง จ.พิจิตร 66000,http://pichithosp.net/,เขต 3,ภาครัฐ,พิจิตร,เมืองพิจิตร,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลอุทัยธานี,Uthai Thani Hospital,0-5651-1081,56 ถนน รักการดี ตำบล อุทัยใหม่ อำเภอเมือง จังหวัดอุทัยธานี 61000,https://uth.moph.go.th/,เขต 3,ภาครัฐ,อุทัยธานี,เมืองอุทัยธานี,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลชัยนาทนเรนทร,Chainat Narenthorn Hospital,0-5641-1055,หน่วยงานเทคนิคการแพทย์และพยาธิวิทยาคลินิก โรงพยาบาลชัยนาทนเรนทร 199 ม.5 ต.บ้านกล้วย อ.เมือง จ.ชัยนาท 17000,http://chainathospital.org/,เขต 3,ภาครัฐ,ชัยนาท,เมืองชัยนาท,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
ศูนย์วิทยาศาสตร์การแพทย์ที่ 4 สระบุรี,Regional Medical Sciences Center 4 Saraburi,0-9226-55234,424 หมู่ 9 ตำบลมิตรภาพ อำเภอมวกเหล็ก จังหวัดสระบุรี 18180,http://rmsc4.dmsc.moph.go.th/,เขต 4,ภาครัฐ,สระบุรี,มวกเหล็ก,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
สำนักงานป้องกันควบคุมโรคที่ 4 สระบุรี,The Office of Disease Prevention and Control 4 Saraburi,0-3623-9302,76 หมู่ 5 ถนนพหลโยธิน อำเภอพระพุทธบาท จังหวัดสระบุรี 18120,https://ddc.moph.go.th/odpc4/,เขต 4,ภาครัฐ,สระบุรี,พระพุทธบาท,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลสระบุรี,Saraburi Hospital,0-3634-3500,กลุ่มงานเทคนิคการแพทย์และพยาธิวิทยาคลินิก อาคาร 100 ปี สาธารณสุข ชั้น 3 รพ.สระบุรี ต.ปากเพรียว อ.เมืองฯ จ.สระบุรี,https://www.sbh.go.th/,เขต 4,ภาครัฐ,สระบุรี,เมืองสระบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเกษมราษฎร์ สระบุรี,Kasemrad Hospital Saraburi,0-3631-5555,2/22 ถ.มิตรภาพ ต.ปากเพรียว อ.เมือง จ.สระบุรี 18000,http://www.kasemrad.co.th/Saraburi,เขต 4,เอกชน,สระบุรี,เมืองสระบุรี,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
คณะสหเวชศาสตร์ มหาวิทยาลัยธรรมศาสตร์,"Faculty of Allied Health Science, Thammasat University",0-2986-9213-9,ศูนย์บริการสุขภาพ คณะสหเวชศาสตร์ มหาวิทยาลัยธรรมศาสตร์ อาคารปิยชาติ ศูนย์รังสิต 99 หมู่ 18 ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12121,https://allied.tu.ac.th/,เขต 4,ภาครัฐ,ปทุมธานี,คลองหลวง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
ห้องปฏิบัติการเทคนิคการแพทย์ โรงพยาบาลธรรมศาสตร์เฉลิมพระเกียรติ,"Medical Technology Laboratory, Thammasat University Hospital",0-2926-9114-21,95 หมู่ 8 ถ.พหลโยธิน ต. คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,https://www.hospital.tu.ac.th/,เขต 4,ภาครัฐ,ปทุมธานี,คลองหลวง,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลพระนั่งเกล้า,Pranangklao Hospital,0-2528-4567,เลขที่91 ถ.นนทบุรี ต.บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี 11000,https://www.pranangklao.go.th/,เขต 4,ภาครัฐ,นนทบุรี,เมืองนนทบุรี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลบางกรวย,Bangkruai Hospital,0-2447-5582,ห้องปฏิบัติการชีวโมเลกุล ศูนย์บริการการแพทย์นนทบุรี 155 ตำบล บางขุนกอง อำเภอบางกรวย นนทบุรี 11130,"https://www.bangkruaihospital.go.th
",เขต 4,ภาครัฐ,นนทบุรี,บางกรวย,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
สถาบันโรคทรวงอก,Central Chest Institute of Thailand,0-2547-0999,74 ถ.ติวานนท์ ต.บางกระสอ อ.เมือง นนทบุรี 11000,https://www.ccit.go.th/,เขต 4,ภาครัฐ,นนทบุรี,เมืองนนทบุรี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลนนทเวช,Nonthavej Hospital,0-2596-7888,432 ถ.งามวงศ์วาน ต.บางเขน อ.เมือง จ.นนทบุรี 11000,https://www.nonthavej.co.th/,เขต 4,เอกชน,นนทบุรี,เมืองนนทบุรี,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,,
โรงพยาบาลเกษมราษฎร์ อินเตอร์เนชั่นแนล รัตนาธิเบศร์,Kasemrad International Hospital Rattanatibeth,1218,60 หมู่6 ถ.ตลิ่งชัน-สุพรรณบุรี ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140,https://www.kasemradinter.com/,เขต 4,เอกชน,นนทบุรี,บางใหญ่,กรุงเทพและปริมณฑล,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
